region,channel,ad_spend,discount,sales
East,Online,18898.0,2.03,55998.0
South,Wholesale,13830.0,16.94,32516.0
South,Online,25124.0,10.62,57989.0
South,Online,20418.0,16.83,49702.0
North,Online,3028.0,11.6,22082.0
West,Retail,19565.0,11.19,40160.0
South,Retail,8863.0,2.11,29214.0
West,Wholesale,18192.0,3.35,39380.0
East,Online,20724.0,19.44,51523.0
South,Online,7694.0,4.57,32632.0
South,Wholesale,14249.0,19.55,28807.0
East,Online,6519.0,10.64,31676.0
South,Online,2518.0,2.72,23376.0
West,Retail,11976.0,1.99,31268.0
North,Wholesale,11525.0,4.18,34337.0
West,Wholesale,29869.0,18.51,62408.0
North,Wholesale,13944.0,8.28,35951.0
North,Wholesale,10674.0,7.91,33084.0
West,Retail,17834.0,6.26,46203.0
West,Retail,3574.0,2.94,21733.0
West,Online,28888.0,9.76,73467.0
West,Online,19414.0,2.6,49116.0
East,Online,22890.0,16.71,50618.0
South,Online,5944.0,7.41,23515.0
North,Retail,12875.0,7.5,37537.0
West,Wholesale,13258.0,9.48,35423.0
West,Retail,24832.0,8.88,52162.0
West,Online,1036.0,19.9,14255.0
East,Retail,9725.0,10.91,29155.0
West,Wholesale,29456.0,1.76,61814.0
West,Wholesale,14772.0,12.14,28265.0
West,Retail,12093.0,3.03,30670.0
South,Retail,4475.0,0.62,21747.0
East,Retail,29251.0,19.41,59439.0
West,Online,1581.0,15.47,18149.0
North,Retail,22378.0,19.6,51878.0
North,Retail,23289.0,9.56,53623.0
North,Retail,8066.0,10.65,29420.0
East,Wholesale,20475.0,3.37,55125.0
East,Wholesale,3695.0,4.94,24803.0
North,Online,8454.0,16.77,28889.0
West,Online,23849.0,7.12,61243.0
East,Wholesale,26076.0,16.54,57837.0
North,Wholesale,18646.0,14.18,38952.0
North,Wholesale,15698.0,3.54,41949.0
West,Retail,5620.0,10.15,26701.0
South,Retail,2830.0,13.55,13416.0
East,Wholesale,4412.0,4.7,11805.0
West,Retail,7593.0,16.61,20000.0
North,Retail,10909.0,10.9,36560.0
North,Online,12046.0,3.3,43052.0
West,Wholesale,11043.0,11.66,29193.0
East,Wholesale,7933.0,19.99,22099.0
South,Retail,15782.0,3.01,41838.0
South,Wholesale,24933.0,16.34,49151.0
North,Online,9111.0,4.15,37785.0
East,Online,28329.0,15.65,64701.0
South,Online,26327.0,14.69,60206.0
East,Wholesale,5691.0,6.01,22524.0
East,Wholesale,23802.0,6.52,52338.0
North,Wholesale,17663.0,15.85,43119.0
South,Wholesale,17431.0,9.23,42558.0
West,Wholesale,12340.0,14.62,23894.0
North,Online,15533.0,2.96,48312.0
South,Retail,12518.0,17.05,30287.0
South,Online,16652.0,14.22,41261.0
South,Wholesale,19211.0,18.14,41422.0
South,Online,20555.0,2.65,55473.0
South,Wholesale,16442.0,11.86,38173.0
East,Wholesale,21921.0,11.98,47266.0
North,Online,5097.0,7.07,22660.0
East,Wholesale,7147.0,9.17,17129.0
West,Retail,24743.0,0.76,60926.0
South,Wholesale,10353.0,14.92,25976.0
North,Retail,1664.0,10.99,17816.0
South,Retail,5460.0,1.15,25656.0
North,Wholesale,7485.0,13.62,24307.0
East,Online,28762.0,9.34,71009.0
North,Retail,17618.0,0.69,51701.0
West,Online,28049.0,19.39,62916.0
West,Retail,17680.0,18.98,37848.0
North,Wholesale,14901.0,10.26,37791.0
North,Wholesale,10098.0,1.87,34824.0
North,Retail,18585.0,15.09,42399.0
North,Wholesale,5037.0,9.84,20007.0
West,Retail,27050.0,6.05,61198.0
South,Wholesale,25051.0,9.83,54670.0
North,Online,10208.0,10.45,35830.0
North,Wholesale,28631.0,11.25,58746.0
West,Online,24931.0,8.82,61375.0
West,Wholesale,20323.0,12.12,46024.0
East,Online,4531.0,18.37,24902.0
North,Wholesale,14869.0,7.25,41465.0
East,Online,15677.0,14.51,41968.0
West,Retail,7744.0,17.89,16955.0
West,Retail,3319.0,9.12,20890.0
South,Online,23525.0,8.87,58653.0
North,Wholesale,4539.0,12.04,19730.0
East,Online,18234.0,11.83,47144.0
West,Wholesale,28157.0,16.13,54664.0
West,Retail,26407.0,9.53,59832.0
East,Wholesale,9055.0,19.92,18275.0
South,Retail,25692.0,1.19,66527.0
West,Wholesale,1010.0,0.06,19011.0
North,Wholesale,1513.0,12.8,12261.0
West,Wholesale,18474.0,5.97,40677.0
North,Online,11579.0,4.81,35392.0
East,Online,12207.0,6.24,36098.0
North,Retail,17369.0,5.12,49894.0
East,Retail,6562.0,0.62,29448.0
North,Online,7141.0,19.43,27620.0
East,Retail,15053.0,4.41,36354.0
