age,annual_spend,visit_frequency,avg_transaction,segment
49,7094.32,34,208.66,3
52,8782.06,30,292.74,3
47,4340.62,23,188.72,2
31,1754.68,8,219.33,1
22,904.12,3,301.37,0
50,4452.52,24,185.52,2
54,10370.55,49,211.64,3
18,1388.59,3,462.86,0
50,4455.87,15,297.06,2
41,5434.88,17,319.7,2
55,6536.07,29,225.38,3
49,5270.78,21,250.99,2
36,3112.7,23,135.33,2
62,7638.98,32,238.72,3
41,11594.08,35,331.26,3
19,1239.89,3,413.3,0
60,11544.49,36,320.68,3
41,5583.34,40,139.58,3
44,1559.26,17,91.72,1
33,971.67,4,242.92,0
19,521.23,3,173.74,0
54,11634.53,45,258.55,3
50,4618.99,13,355.31,2
19,356.83,3,118.94,0
36,2812.62,8,351.58,1
36,2634.39,9,292.71,1
44,5273.33,17,310.2,2
43,1524.76,11,138.61,1
50,9550.62,26,367.33,3
54,9092.58,28,324.73,3
53,4004.63,28,143.02,2
23,753.07,3,251.02,0
18,890.76,6,148.46,0
21,500.4,2,250.2,0
43,2365.92,14,168.99,1
55,5866.17,32,183.32,3
34,754.04,4,188.51,0
64,6642.15,36,184.5,3
37,3893.58,23,169.29,2
50,10826.28,43,251.77,3
22,970.06,6,161.68,0
26,244.71,4,61.18,0
33,1239.81,2,619.91,0
33,1353.21,3,451.07,0
33,1499.19,9,166.58,1
42,5937.1,19,312.48,2
29,705.13,3,235.04,0
44,2896.27,10,289.63,1
45,3729.37,23,162.15,2
58,9079.49,40,226.99,3
48,5508.87,16,344.3,2
34,1790.29,12,149.19,1
49,3855.62,21,183.6,2
46,9730.38,28,347.51,3
59,8736.67,32,273.02,3
50,7241.18,36,201.14,3
21,1085.45,4,271.36,0
48,4313.15,17,253.71,2
18,513.56,5,102.71,0
51,10939.61,32,341.86,3
35,1861.56,11,169.23,1
18,403.0,3,134.33,0
48,10030.58,36,278.63,3
30,1677.34,14,119.81,1
46,6263.76,36,173.99,3
64,9914.62,34,291.61,3
36,4026.68,19,211.93,2
42,5814.54,17,342.03,2
46,6570.67,38,172.91,3
43,9655.21,26,371.35,3
38,2312.75,11,210.25,1
53,5254.27,28,187.65,2
45,10651.51,30,355.05,3
57,9424.65,32,294.52,3
38,2253.24,12,187.77,1
51,3039.84,20,151.99,2
36,3698.58,20,184.93,2
54,10244.28,34,301.3,3
18,813.69,2,406.84,0
30,472.88,3,157.63,0
57,11458.18,38,301.53,3
54,6055.12,34,178.09,3
34,1651.02,7,235.86,1
34,1670.76,9,185.64,1
42,8583.95,40,214.6,3
42,6338.92,35,181.11,3
61,8620.88,33,261.24,3
39,3498.55,18,194.36,2
38,1343.9,9,149.32,1
34,1222.25,2,611.12,0
45,4003.33,20,200.17,2
26,744.6,5,148.92,0
39,3432.72,23,149.25,2
50,6999.77,32,218.74,3
32,1236.65,10,123.67,0
45,4772.6,22,216.94,2
30,366.03,4,91.51,0
20,1352.59,3,450.86,0
53,6352.02,46,138.09,3
43,1434.15,6,239.02,1
19,1486.95,4,371.74,0
19,1189.34,6,198.22,0
44,5540.36,24,230.85,2
29,776.88,7,110.98,0
47,9814.27,37,265.25,3
27,2151.38,8,268.92,1
52,5349.48,16,334.34,2
26,1003.6,3,334.53,0
49,5295.95,27,196.15,2
18,1326.03,3,442.01,0
27,962.89,3,320.96,0
37,3869.18,17,227.6,2
47,7996.12,41,195.03,3
42,11755.37,42,279.89,3
32,3048.14,10,304.81,1
35,5323.46,15,354.9,2
54,11238.44,35,321.1,3
32,1969.38,6,328.23,1
36,4749.92,25,190.0,2
52,4707.91,21,224.19,2
53,9760.33,31,314.85,3
52,4677.65,20,233.88,2
37,3929.08,23,170.83,2
56,6237.02,38,164.13,3
52,9041.73,32,282.55,3
47,4076.23,20,203.81,2
50,4181.27,21,199.11,2
48,9581.73,37,258.97,3
28,2391.58,7,341.65,1
41,5429.94,17,319.41,2
44,2935.51,10,293.55,1
30,2218.98,11,201.73,1
52,6506.48,30,216.88,3
29,2089.43,9,232.16,1
49,5552.56,17,326.62,2
55,6338.74,34,186.43,3
27,2457.4,14,175.53,1
30,1006.4,3,335.47,0
52,8493.79,33,257.39,3
31,3060.3,16,191.27,1
41,4789.04,17,281.71,2
41,4780.49,16,298.78,2
51,4085.3,20,204.27,2
50,9053.0,34,266.26,3
18,620.69,5,124.14,0
25,2651.12,10,265.11,1
48,4344.26,20,217.21,2
36,4489.55,15,299.3,2
32,3330.25,10,333.02,1
50,3321.09,19,174.79,2
62,7584.31,36,210.68,3
55,7583.66,27,280.88,3
50,5215.64,12,434.64,2
41,5211.4,18,289.52,2
57,8178.12,29,282.0,3
47,4942.03,15,329.47,2
54,4713.6,25,188.54,2
33,839.75,5,167.95,0
47,3736.36,22,169.83,2
25,2877.49,14,205.54,1
25,2541.48,6,423.58,1
41,10001.72,36,277.83,3
42,10717.27,31,345.72,3
45,11779.14,28,420.68,3
54,5462.55,17,321.33,2
31,1281.77,2,640.89,0
21,1138.93,5,227.79,0
60,7222.29,34,212.42,3
23,1170.44,5,234.09,0
44,10496.97,31,338.61,3
22,801.41,6,133.57,0
43,2067.83,10,206.78,1
25,337.36,5,67.47,0
30,1861.16,10,186.12,1
38,1797.78,10,179.78,1
27,1907.66,13,146.74,1
49,8762.58,37,236.83,3
44,3504.06,18,194.67,2
39,2020.17,10,202.02,1
27,1422.3,5,284.46,0
24,350.63,4,87.66,0
42,6091.08,44,138.43,3
37,3358.51,12,279.88,1
28,2840.01,12,236.67,1
32,1428.15,3,476.05,0
40,3117.02,19,164.05,2
18,294.18,4,73.55,0
43,5196.66,17,305.69,2
43,11647.55,38,306.51,3
50,5160.33,13,396.95,2
32,3446.64,9,382.96,1
47,5604.0,24,233.5,2
25,825.75,1,825.75,0
48,11063.51,34,325.4,3
34,2752.01,12,229.33,1
52,3867.45,29,133.36,2
24,972.82,4,243.2,0
52,8770.37,32,274.07,3
22,1002.0,6,167.0,0
32,1479.72,3,493.24,0
47,3934.96,20,196.75,2
28,3193.57,17,187.86,1
52,5534.59,18,307.48,2
48,6115.8,34,179.88,3
38,1780.32,10,178.03,1
62,10743.6,34,315.99,3
44,7965.88,43,185.25,3
42,10429.5,37,281.88,3
32,1465.54,5,293.11,0
33,1340.54,5,268.11,0
48,5896.35,26,226.78,2
38,3099.95,11,281.81,1
58,11812.93,34,347.44,3
18,1324.14,9,147.13,0
38,4382.14,17,257.77,2
31,3045.51,15,203.03,1
50,3407.24,15,227.15,2
19,550.67,2,275.34,0
31,1118.91,3,372.97,0
26,1334.67,12,111.22,1
43,3496.5,22,158.93,2
40,2391.31,5,478.26,1
20,1159.44,3,386.48,0
42,4341.91,31,140.06,2
20,1408.61,7,201.23,0
49,3684.99,12,307.08,2
49,7689.51,36,213.6,3
37,4282.63,15,285.51,2
44,2066.36,7,295.19,1
52,8935.8,40,223.39,3
52,3731.99,17,219.53,2
49,8761.04,38,230.55,3
21,486.63,4,121.66,0
60,9152.2,39,234.67,3
43,5112.09,16,319.51,2
43,2784.9,8,348.11,1
46,8639.59,42,205.7,3
35,1315.56,8,164.44,1
45,3150.97,12,262.58,2
50,5109.83,24,212.91,2
27,207.49,3,69.16,0
31,1364.92,2,682.46,0
30,3046.07,11,276.92,1
27,1444.91,3,481.64,0
47,11152.02,39,285.95,3
44,2393.77,10,239.38,1
52,3235.88,18,179.77,2
39,1746.1,13,134.32,1
49,3758.51,13,289.12,2
31,1006.09,5,201.22,0
42,5318.52,24,221.61,2
61,10079.21,34,296.45,3
34,1482.07,6,247.01,0
29,1623.72,13,124.9,1
35,3132.25,15,208.82,1
27,267.37,2,133.69,0
44,10903.1,39,279.57,3
51,9485.61,42,225.85,3
40,10766.68,35,307.62,3
54,3167.78,15,211.19,2
55,6146.73,36,170.74,3
