tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,churn
38,51.29,2030.75,Two Year,Credit Card,DSL,0
16,105.85,1754.11,Month-to-Month,Credit Card,Fiber Optic,0
71,33.17,2364.99,Month-to-Month,Debit Card,No,0
70,90.5,6535.66,Two Year,Electronic Check,No,0
47,94.2,4389.73,Two Year,UPI AutoPay,Fiber Optic,0
58,87.77,5196.27,Two Year,Electronic Check,DSL,0
51,45.23,2337.85,One Year,UPI AutoPay,No,0
43,107.3,4565.51,Month-to-Month,Credit Card,Fiber Optic,0
4,36.89,235.85,Month-to-Month,Electronic Check,DSL,1
33,25.36,885.27,One Year,UPI AutoPay,DSL,0
48,91.75,4523.0,One Year,Debit Card,No,0
49,67.55,3325.03,Month-to-Month,Debit Card,Fiber Optic,0
27,104.91,2880.36,Two Year,Electronic Check,No,0
67,58.34,4197.78,Month-to-Month,Electronic Check,No,0
12,36.83,592.86,Month-to-Month,Credit Card,Fiber Optic,1
36,103.64,3857.94,Month-to-Month,Electronic Check,Fiber Optic,0
50,74.89,3759.68,Month-to-Month,Credit Card,Fiber Optic,0
50,38.92,2066.02,Month-to-Month,Credit Card,DSL,0
47,92.04,4382.52,Month-to-Month,Debit Card,Fiber Optic,1
20,71.11,1463.64,Month-to-Month,Debit Card,Fiber Optic,1
12,80.43,942.11,One Year,UPI AutoPay,Fiber Optic,0
46,66.09,3042.07,One Year,Debit Card,No,0
43,102.87,4163.03,One Year,Debit Card,Fiber Optic,0
13,102.96,1435.09,Two Year,Electronic Check,Fiber Optic,1
51,90.94,4594.94,Month-to-Month,Debit Card,Fiber Optic,0
33,30.54,1176.78,Month-to-Month,UPI AutoPay,Fiber Optic,0
48,103.89,5031.13,Two Year,Electronic Check,Fiber Optic,0
60,87.1,5146.64,Month-to-Month,UPI AutoPay,DSL,0
13,89.7,1165.69,Two Year,Debit Card,Fiber Optic,0
2,56.3,28.21,Month-to-Month,UPI AutoPay,DSL,0
56,107.93,6125.44,Two Year,Electronic Check,Fiber Optic,0
44,92.54,4127.43,Month-to-Month,Credit Card,Fiber Optic,1
50,31.26,1679.82,Two Year,UPI AutoPay,Fiber Optic,0
60,60.78,3598.52,Month-to-Month,UPI AutoPay,No,0
57,108.64,6304.36,Two Year,Electronic Check,Fiber Optic,0
69,24.72,1574.73,Month-to-Month,Electronic Check,Fiber Optic,0
39,116.14,4605.64,One Year,UPI AutoPay,Fiber Optic,0
35,87.92,3189.02,Two Year,Debit Card,Fiber Optic,0
29,83.14,2504.97,Month-to-Month,UPI AutoPay,DSL,0
11,47.06,560.7,One Year,Electronic Check,DSL,0
41,44.88,1910.92,One Year,Credit Card,Fiber Optic,0
20,114.21,2520.83,Month-to-Month,Credit Card,Fiber Optic,1
66,49.83,3280.66,One Year,Debit Card,DSL,0
42,97.55,4150.65,One Year,UPI AutoPay,DSL,0
43,59.31,2447.25,Two Year,Credit Card,DSL,0
26,33.93,802.01,Month-to-Month,UPI AutoPay,No,0
4,21.07,108.63,Month-to-Month,Electronic Check,DSL,1
3,74.43,352.56,Two Year,Credit Card,Fiber Optic,0
31,117.58,3625.96,Two Year,Debit Card,DSL,0
7,56.91,375.04,Month-to-Month,Electronic Check,Fiber Optic,1
44,55.72,2415.76,One Year,Debit Card,DSL,0
63,54.41,3404.18,Month-to-Month,Electronic Check,DSL,0
63,72.05,4618.42,Month-to-Month,Credit Card,Fiber Optic,0
47,64.07,2912.15,Month-to-Month,Debit Card,DSL,0
15,107.99,1855.68,Month-to-Month,Debit Card,DSL,1
62,70.55,4326.93,One Year,Electronic Check,DSL,0
63,70.78,4595.66,Month-to-Month,Debit Card,DSL,0
14,33.84,379.29,Two Year,Electronic Check,DSL,0
53,118.27,6377.66,Two Year,Electronic Check,DSL,0
21,45.0,1027.57,One Year,Electronic Check,No,0
57,27.34,1623.59,Month-to-Month,Electronic Check,Fiber Optic,1
71,86.31,6098.28,Month-to-Month,Credit Card,Fiber Optic,0
3,79.54,274.05,Two Year,Electronic Check,DSL,1
64,61.51,3862.49,One Year,UPI AutoPay,No,0
45,62.22,2787.45,Month-to-Month,Debit Card,Fiber Optic,1
70,98.51,7009.24,Two Year,UPI AutoPay,DSL,0
34,39.57,1425.71,Two Year,Credit Card,Fiber Optic,0
61,102.03,6241.85,Two Year,UPI AutoPay,DSL,0
5,84.87,363.39,One Year,Debit Card,DSL,0
24,61.9,1599.9,One Year,UPI AutoPay,Fiber Optic,0
5,65.8,380.84,Month-to-Month,Credit Card,No,1
70,45.66,2975.89,Two Year,Electronic Check,Fiber Optic,0
59,95.21,5696.23,Two Year,UPI AutoPay,Fiber Optic,0
61,71.29,4383.96,Month-to-Month,Credit Card,No,0
67,52.09,3640.99,Month-to-Month,Credit Card,DSL,0
7,79.61,451.08,Month-to-Month,Debit Card,DSL,1
28,119.57,3075.52,Two Year,Debit Card,Fiber Optic,0
6,63.53,411.83,Two Year,UPI AutoPay,Fiber Optic,0
15,112.07,1818.49,Month-to-Month,Electronic Check,Fiber Optic,0
17,54.5,772.99,One Year,Credit Card,No,0
34,25.47,776.05,Month-to-Month,UPI AutoPay,Fiber Optic,0
20,40.42,1086.75,Two Year,Credit Card,Fiber Optic,0
8,61.87,474.88,Two Year,Credit Card,DSL,0
12,41.96,614.08,Two Year,Electronic Check,No,0
11,20.02,164.33,Month-to-Month,Electronic Check,No,1
70,111.5,7605.84,Month-to-Month,UPI AutoPay,No,0
54,104.39,5714.89,Month-to-Month,Electronic Check,DSL,1
69,94.23,6542.26,Month-to-Month,Electronic Check,Fiber Optic,1
32,36.78,1145.17,Two Year,UPI AutoPay,DSL,0
20,32.04,653.74,Two Year,Electronic Check,DSL,0
57,26.76,1569.94,Two Year,Debit Card,DSL,0
24,92.4,2217.82,Two Year,Credit Card,Fiber Optic,0
22,112.88,2385.9,One Year,Credit Card,Fiber Optic,0
17,63.05,1152.56,One Year,Credit Card,DSL,0
10,31.91,130.82,Two Year,Credit Card,Fiber Optic,0
19,71.24,1163.39,Two Year,UPI AutoPay,Fiber Optic,0
26,54.88,1513.38,Month-to-Month,Credit Card,Fiber Optic,0
48,57.48,2858.93,Month-to-Month,Credit Card,DSL,0
5,82.13,441.24,Month-to-Month,Credit Card,Fiber Optic,1
15,91.87,1325.44,Two Year,Credit Card,Fiber Optic,0
58,31.06,1744.4,One Year,Debit Card,DSL,0
11,23.56,243.04,Month-to-Month,Credit Card,DSL,0
25,119.43,2865.39,One Year,Debit Card,Fiber Optic,0
62,43.27,2625.92,One Year,UPI AutoPay,No,0
11,25.38,369.82,Month-to-Month,Electronic Check,Fiber Optic,1
6,38.99,410.74,Month-to-Month,Credit Card,Fiber Optic,0
35,23.9,804.02,One Year,Electronic Check,Fiber Optic,0
22,59.18,1405.55,Month-to-Month,Electronic Check,Fiber Optic,1
41,100.24,3918.64,One Year,UPI AutoPay,DSL,0
58,54.12,3208.96,Month-to-Month,Electronic Check,Fiber Optic,0
10,64.42,611.3,Two Year,Debit Card,No,0
42,87.56,3728.31,One Year,Electronic Check,Fiber Optic,0
36,70.89,2590.41,One Year,Electronic Check,No,0
11,106.14,1324.0,Two Year,Electronic Check,Fiber Optic,1
45,106.6,4742.11,Month-to-Month,Credit Card,DSL,0
20,20.99,491.58,Month-to-Month,Credit Card,No,0
35,97.8,3457.44,Month-to-Month,Debit Card,DSL,0
6,66.07,436.2,One Year,Debit Card,Fiber Optic,0
33,118.88,3979.74,One Year,Credit Card,DSL,1
22,68.32,1470.39,One Year,Debit Card,DSL,1
59,118.69,7047.45,Month-to-Month,Credit Card,Fiber Optic,0
5,95.46,475.36,Month-to-Month,UPI AutoPay,DSL,1
30,44.86,1402.29,Month-to-Month,Electronic Check,Fiber Optic,0
33,73.84,2485.66,Month-to-Month,Electronic Check,Fiber Optic,0
52,119.21,6335.58,One Year,Debit Card,DSL,0
41,105.75,4510.12,Month-to-Month,Credit Card,DSL,1
48,29.74,1333.36,Month-to-Month,Credit Card,Fiber Optic,1
56,90.64,5178.01,Two Year,Debit Card,DSL,0
62,54.56,3275.77,Month-to-Month,Credit Card,Fiber Optic,0
23,20.7,540.75,Month-to-Month,UPI AutoPay,Fiber Optic,0
39,60.35,2427.6,One Year,Electronic Check,No,0
60,43.48,2445.55,Month-to-Month,Debit Card,Fiber Optic,0
71,101.89,7268.85,One Year,Debit Card,Fiber Optic,0
64,53.73,3400.44,Two Year,Credit Card,Fiber Optic,0
27,102.75,2736.88,Two Year,Debit Card,DSL,0
14,20.06,433.11,Month-to-Month,UPI AutoPay,DSL,1
35,50.78,1749.93,Two Year,Credit Card,Fiber Optic,0
53,44.12,2286.5,Month-to-Month,Credit Card,Fiber Optic,0
35,43.36,1567.22,Month-to-Month,Credit Card,Fiber Optic,0
35,26.82,1015.41,Month-to-Month,Credit Card,No,0
60,38.71,2328.49,Two Year,UPI AutoPay,No,0
26,75.55,2130.91,Month-to-Month,Credit Card,No,0
62,49.14,3101.77,Month-to-Month,Debit Card,Fiber Optic,1
29,61.74,1627.15,One Year,UPI AutoPay,DSL,0
24,57.69,1349.1,Month-to-Month,Electronic Check,Fiber Optic,0
33,107.59,3519.4,Month-to-Month,Electronic Check,Fiber Optic,1
55,110.53,6141.86,Month-to-Month,Debit Card,Fiber Optic,0
9,69.3,426.74,Month-to-Month,Debit Card,Fiber Optic,1
14,53.02,1047.26,Month-to-Month,UPI AutoPay,Fiber Optic,0
68,30.68,2156.3,Month-to-Month,Electronic Check,Fiber Optic,0
13,115.34,1567.36,One Year,Electronic Check,DSL,0
41,26.02,1193.12,Month-to-Month,Electronic Check,Fiber Optic,0
42,49.77,2331.03,Month-to-Month,Electronic Check,DSL,1
35,49.81,1868.33,Two Year,Electronic Check,No,0
46,52.04,2529.16,Month-to-Month,Credit Card,DSL,1
17,36.43,643.93,One Year,Debit Card,DSL,0
40,98.32,3941.99,Month-to-Month,Credit Card,DSL,0
27,32.25,836.85,Month-to-Month,Electronic Check,Fiber Optic,0
47,83.49,3923.14,Month-to-Month,UPI AutoPay,Fiber Optic,0
11,32.38,288.4,Month-to-Month,UPI AutoPay,DSL,0
41,27.05,988.54,Month-to-Month,Electronic Check,DSL,0
14,110.94,1562.72,Month-to-Month,Electronic Check,Fiber Optic,1
20,39.01,642.36,Month-to-Month,UPI AutoPay,DSL,0
16,102.13,1707.05,Month-to-Month,Credit Card,Fiber Optic,1
13,74.46,1037.47,Month-to-Month,Credit Card,Fiber Optic,1
59,27.79,1671.43,Month-to-Month,Electronic Check,Fiber Optic,0
21,115.54,2407.19,Month-to-Month,Credit Card,DSL,0
66,44.7,3294.54,Month-to-Month,UPI AutoPay,No,0
69,105.96,7539.2,One Year,Credit Card,Fiber Optic,0
41,36.88,1408.3,Month-to-Month,Electronic Check,Fiber Optic,0
11,105.39,1198.76,One Year,UPI AutoPay,DSL,0
27,21.32,527.56,One Year,Credit Card,Fiber Optic,0
57,71.18,4001.18,Month-to-Month,Debit Card,DSL,0
27,96.94,2491.7,Two Year,UPI AutoPay,Fiber Optic,0
7,113.48,857.8,Two Year,UPI AutoPay,No,0
40,110.92,4427.65,Month-to-Month,Debit Card,Fiber Optic,0
61,101.96,6316.86,Month-to-Month,Debit Card,DSL,0
57,108.82,6357.65,Two Year,UPI AutoPay,DSL,0
13,39.92,673.69,One Year,Debit Card,Fiber Optic,0
48,48.42,2275.95,Month-to-Month,Electronic Check,DSL,1
16,48.9,861.95,Month-to-Month,Electronic Check,DSL,0
16,57.71,1014.97,Month-to-Month,Electronic Check,Fiber Optic,1
63,59.33,3694.01,Month-to-Month,UPI AutoPay,Fiber Optic,0
18,74.46,1317.11,One Year,Debit Card,DSL,0
19,35.99,869.58,Month-to-Month,Debit Card,No,0
1,89.12,116.01,Month-to-Month,Credit Card,DSL,1
62,36.76,2372.56,One Year,Credit Card,No,0
57,51.03,2840.55,Month-to-Month,Debit Card,DSL,0
45,70.33,3081.13,Month-to-Month,Debit Card,No,0
54,99.64,5350.63,One Year,Debit Card,Fiber Optic,0
11,93.95,1095.74,Two Year,UPI AutoPay,No,1
33,84.55,2729.58,Month-to-Month,Debit Card,No,0
25,35.58,921.77,Month-to-Month,Credit Card,DSL,1
7,74.7,403.25,Month-to-Month,UPI AutoPay,No,1
35,28.74,908.87,Month-to-Month,Debit Card,Fiber Optic,0
66,57.74,3899.2,Month-to-Month,Credit Card,Fiber Optic,0
3,61.35,296.23,Month-to-Month,UPI AutoPay,DSL,0
21,23.98,481.05,Month-to-Month,Debit Card,Fiber Optic,1
15,47.4,644.06,Month-to-Month,Debit Card,DSL,1
17,115.56,1966.84,Month-to-Month,Debit Card,Fiber Optic,0
65,115.36,7518.83,Month-to-Month,UPI AutoPay,Fiber Optic,0
34,55.23,1955.23,Month-to-Month,Credit Card,Fiber Optic,0
34,24.31,921.97,Month-to-Month,Credit Card,No,0
55,37.91,2035.4,Month-to-Month,Electronic Check,Fiber Optic,0
11,59.22,593.47,Two Year,Debit Card,DSL,0
35,114.78,4112.4,One Year,Electronic Check,DSL,1
31,34.12,993.41,One Year,Electronic Check,DSL,0
43,96.35,4127.97,One Year,Credit Card,DSL,0
71,30.87,2354.07,Month-to-Month,UPI AutoPay,DSL,0
55,118.13,6654.15,Month-to-Month,UPI AutoPay,DSL,0
29,58.16,1716.94,Month-to-Month,Credit Card,No,0
59,97.52,5700.45,One Year,UPI AutoPay,Fiber Optic,0
13,54.26,733.04,One Year,Electronic Check,DSL,1
3,82.77,368.05,Month-to-Month,Debit Card,Fiber Optic,1
15,39.2,570.68,Month-to-Month,Credit Card,DSL,0
25,34.6,1006.02,Month-to-Month,Debit Card,Fiber Optic,0
37,113.81,4368.7,Month-to-Month,UPI AutoPay,Fiber Optic,0
44,111.76,5159.37,One Year,Debit Card,Fiber Optic,0
65,108.75,7170.08,One Year,UPI AutoPay,Fiber Optic,0
37,82.54,3129.32,Month-to-Month,UPI AutoPay,No,1
36,100.83,3830.73,Two Year,Electronic Check,No,1
4,26.9,167.62,One Year,UPI AutoPay,Fiber Optic,0
3,53.48,135.91,Month-to-Month,Electronic Check,Fiber Optic,1
40,51.37,2016.76,Month-to-Month,Electronic Check,Fiber Optic,0
32,83.56,2707.17,Month-to-Month,Electronic Check,DSL,1
60,55.6,3239.04,Month-to-Month,Credit Card,Fiber Optic,0
12,34.85,418.11,Month-to-Month,Credit Card,DSL,0
2,79.65,330.51,Month-to-Month,UPI AutoPay,Fiber Optic,1
32,101.44,3116.35,Month-to-Month,Electronic Check,Fiber Optic,0
17,58.21,1193.18,Month-to-Month,Credit Card,DSL,1
4,33.23,262.51,Two Year,Electronic Check,No,0
52,39.67,2034.51,Month-to-Month,Debit Card,No,0
8,43.75,444.71,Month-to-Month,Debit Card,Fiber Optic,1
44,49.99,2209.4,Month-to-Month,Debit Card,Fiber Optic,0
20,84.28,1889.04,Two Year,UPI AutoPay,No,0
13,80.09,1164.99,Month-to-Month,Electronic Check,DSL,0
27,89.61,2365.64,Month-to-Month,Debit Card,Fiber Optic,1
57,56.25,3315.76,Two Year,Credit Card,DSL,0
28,102.4,2932.51,Two Year,Debit Card,Fiber Optic,0
54,40.41,2202.67,Two Year,Debit Card,DSL,0
9,66.9,590.17,Month-to-Month,Debit Card,No,0
55,100.09,5766.74,Month-to-Month,UPI AutoPay,No,0
17,38.02,781.54,One Year,Credit Card,DSL,0
49,30.99,1447.29,Two Year,Electronic Check,Fiber Optic,0
41,108.37,4328.12,One Year,Credit Card,No,0
66,54.29,3597.39,One Year,Electronic Check,Fiber Optic,0
28,88.39,2562.47,Month-to-Month,UPI AutoPay,No,0
5,22.53,152.42,One Year,UPI AutoPay,Fiber Optic,0
2,89.0,335.37,Month-to-Month,UPI AutoPay,Fiber Optic,0
59,51.61,3160.48,Month-to-Month,UPI AutoPay,DSL,0
38,25.57,1075.33,Month-to-Month,Electronic Check,DSL,0
56,80.98,4571.06,Month-to-Month,Debit Card,Fiber Optic,0
17,44.08,638.83,Month-to-Month,Electronic Check,Fiber Optic,0
25,58.68,1476.84,Month-to-Month,Credit Card,Fiber Optic,0
3,28.06,194.04,One Year,UPI AutoPay,Fiber Optic,0
69,34.72,2399.51,Month-to-Month,UPI AutoPay,Fiber Optic,0
48,49.8,2461.45,One Year,Credit Card,No,0
67,28.98,1916.98,Month-to-Month,Electronic Check,No,0
19,111.08,2102.04,Month-to-Month,Debit Card,Fiber Optic,1
44,20.6,902.8,Month-to-Month,Debit Card,No,0
49,68.39,3393.68,Month-to-Month,Credit Card,Fiber Optic,0
23,32.32,695.55,Month-to-Month,Debit Card,Fiber Optic,1
61,50.77,3084.22,Month-to-Month,Electronic Check,No,1
68,112.61,7591.24,Month-to-Month,Electronic Check,DSL,0
63,36.17,2420.43,Two Year,Credit Card,DSL,0
53,116.58,6204.7,Month-to-Month,Electronic Check,No,1
20,40.58,985.27,Two Year,UPI AutoPay,Fiber Optic,0
20,94.16,2129.67,Month-to-Month,Credit Card,No,1
69,74.67,5173.73,One Year,Electronic Check,No,0
1,108.45,86.79,One Year,Credit Card,DSL,0
51,75.4,3700.08,One Year,Debit Card,No,0
51,73.46,3609.59,Month-to-Month,Electronic Check,Fiber Optic,1
45,39.55,1650.52,Month-to-Month,UPI AutoPay,Fiber Optic,0
71,36.62,2748.98,Month-to-Month,Electronic Check,Fiber Optic,1
23,111.65,2595.52,Two Year,Credit Card,No,0
25,52.78,1365.84,Two Year,Credit Card,DSL,0
6,57.21,155.8,Two Year,Electronic Check,Fiber Optic,0
32,95.98,2993.74,Month-to-Month,UPI AutoPay,Fiber Optic,0
19,53.88,1141.27,One Year,UPI AutoPay,Fiber Optic,0
25,115.21,2952.66,Two Year,UPI AutoPay,Fiber Optic,0
60,93.79,5636.73,Month-to-Month,Credit Card,DSL,0
67,79.74,5432.7,Month-to-Month,Electronic Check,DSL,0
14,108.09,1697.05,One Year,Debit Card,Fiber Optic,0
27,24.96,663.02,One Year,Credit Card,No,0
66,45.71,3066.18,Two Year,UPI AutoPay,DSL,0
5,66.5,377.61,Month-to-Month,Electronic Check,DSL,0
7,42.7,561.9,One Year,UPI AutoPay,No,0
12,94.39,975.44,Month-to-Month,Debit Card,DSL,1
43,111.92,4910.03,Month-to-Month,UPI AutoPay,No,1
11,62.38,717.3,Month-to-Month,UPI AutoPay,Fiber Optic,0
69,54.21,3837.15,Two Year,Debit Card,No,0
32,116.16,3734.48,One Year,Electronic Check,DSL,0
36,64.49,2355.76,Month-to-Month,Credit Card,DSL,0
18,68.9,1346.76,Month-to-Month,Electronic Check,Fiber Optic,0
34,55.16,2211.07,Two Year,Debit Card,No,0
47,110.95,5406.18,Month-to-Month,UPI AutoPay,Fiber Optic,0
54,76.9,4093.2,Two Year,Electronic Check,DSL,0
54,96.22,5203.85,Month-to-Month,Credit Card,Fiber Optic,0
42,101.18,4207.31,Month-to-Month,Debit Card,Fiber Optic,0
65,54.18,3353.81,Month-to-Month,Electronic Check,Fiber Optic,0
59,63.37,3708.07,Month-to-Month,Credit Card,Fiber Optic,0
54,104.85,5813.71,One Year,Debit Card,No,0
4,56.33,151.28,Month-to-Month,Credit Card,Fiber Optic,1
1,99.39,252.78,Month-to-Month,Debit Card,DSL,0
16,114.1,1883.92,Two Year,UPI AutoPay,Fiber Optic,0
48,82.32,3887.06,Month-to-Month,Electronic Check,DSL,0
30,94.16,2829.09,Month-to-Month,Credit Card,Fiber Optic,0
29,100.51,3131.99,Two Year,Debit Card,Fiber Optic,0
63,104.5,6741.3,One Year,Credit Card,DSL,0
64,59.51,3844.03,Month-to-Month,Credit Card,DSL,0
65,25.13,1623.3,Two Year,Electronic Check,DSL,0
23,60.19,1409.15,One Year,UPI AutoPay,No,0
50,87.38,4323.28,Month-to-Month,Credit Card,No,0
20,65.04,1108.82,Month-to-Month,Debit Card,DSL,1
14,94.9,1583.37,One Year,Debit Card,No,0
14,55.7,801.37,One Year,UPI AutoPay,Fiber Optic,0
25,83.47,2150.85,Month-to-Month,Debit Card,DSL,0
31,38.64,1212.47,Two Year,UPI AutoPay,DSL,0
59,94.94,5622.46,One Year,Debit Card,Fiber Optic,0
9,74.57,690.73,Month-to-Month,Electronic Check,Fiber Optic,1
53,40.41,1988.86,Month-to-Month,Credit Card,Fiber Optic,0
38,49.19,2133.04,Month-to-Month,Electronic Check,DSL,1
21,94.86,1910.76,One Year,Credit Card,DSL,0
35,68.26,2353.5,Month-to-Month,Credit Card,Fiber Optic,0
22,41.6,883.55,One Year,Credit Card,DSL,0
43,116.73,5185.64,One Year,Electronic Check,DSL,0
31,91.51,2911.82,Two Year,Credit Card,DSL,0
12,115.71,1342.8,Month-to-Month,Electronic Check,No,1
9,62.71,707.22,Two Year,UPI AutoPay,No,0
39,67.51,2761.04,Month-to-Month,Debit Card,Fiber Optic,0
65,109.8,7198.38,Two Year,Debit Card,No,0
25,72.5,1914.72,Month-to-Month,Credit Card,DSL,0
53,90.73,5051.92,Month-to-Month,Electronic Check,Fiber Optic,0
47,45.22,2378.31,One Year,Debit Card,DSL,0
67,64.67,4273.48,Month-to-Month,Electronic Check,Fiber Optic,0
59,32.34,2080.11,Month-to-Month,Electronic Check,No,1
41,40.6,1712.13,One Year,Credit Card,Fiber Optic,0
47,20.09,1007.39,One Year,Debit Card,Fiber Optic,0
64,23.93,1380.86,One Year,Credit Card,Fiber Optic,0
29,117.73,3440.15,One Year,Credit Card,DSL,0
24,44.24,989.32,Month-to-Month,Debit Card,No,0
1,86.33,235.4,Month-to-Month,Debit Card,Fiber Optic,1
59,103.91,6308.99,Month-to-Month,UPI AutoPay,Fiber Optic,0
57,75.07,4136.6,Month-to-Month,UPI AutoPay,Fiber Optic,0
8,35.31,295.01,Two Year,Electronic Check,Fiber Optic,0
41,92.81,4006.27,One Year,Debit Card,DSL,1
33,80.03,2697.6,Month-to-Month,UPI AutoPay,Fiber Optic,0
9,93.13,950.92,Month-to-Month,Electronic Check,DSL,0
70,96.97,6883.5,Two Year,Electronic Check,Fiber Optic,0
16,117.54,1943.43,Month-to-Month,Electronic Check,No,1
5,77.36,419.5,One Year,UPI AutoPay,No,0
43,54.16,2220.08,Month-to-Month,Debit Card,Fiber Optic,0
53,84.85,4423.7,One Year,Credit Card,Fiber Optic,0
3,26.84,159.61,Month-to-Month,Electronic Check,DSL,0
47,109.74,5244.1,Two Year,UPI AutoPay,Fiber Optic,0
38,31.94,1225.11,Two Year,UPI AutoPay,DSL,0
8,52.78,397.4,One Year,Credit Card,Fiber Optic,0
13,101.57,1315.26,One Year,Credit Card,DSL,1
41,79.73,3399.68,Two Year,UPI AutoPay,DSL,0
22,59.36,1274.93,One Year,Debit Card,Fiber Optic,0
67,67.34,4419.69,Month-to-Month,Credit Card,DSL,0
59,105.45,6309.96,One Year,UPI AutoPay,Fiber Optic,0
70,54.0,3804.54,One Year,Credit Card,DSL,0
19,106.96,2082.18,Month-to-Month,Debit Card,DSL,0
69,28.81,2173.39,One Year,Electronic Check,Fiber Optic,0
31,97.68,3086.35,Two Year,Credit Card,DSL,0
25,104.75,2718.37,Two Year,Debit Card,DSL,0
4,38.18,56.78,Month-to-Month,UPI AutoPay,Fiber Optic,0
4,63.03,277.22,Month-to-Month,Credit Card,DSL,0
50,36.55,1893.31,Two Year,Credit Card,No,0
33,90.66,2882.76,Two Year,UPI AutoPay,DSL,0
17,73.53,1276.28,Month-to-Month,Electronic Check,DSL,1
44,83.53,3734.94,Two Year,UPI AutoPay,Fiber Optic,0
18,39.65,755.59,Two Year,Credit Card,DSL,0
42,41.17,1833.54,Month-to-Month,UPI AutoPay,DSL,0
26,24.15,673.5,One Year,Debit Card,Fiber Optic,0
59,52.21,3252.66,Month-to-Month,UPI AutoPay,DSL,0
59,75.97,4403.6,Month-to-Month,Credit Card,No,0
34,105.79,3704.93,Month-to-Month,UPI AutoPay,DSL,0
25,86.69,2254.5,Two Year,Electronic Check,Fiber Optic,0
26,63.54,1592.24,Month-to-Month,UPI AutoPay,No,0
58,115.31,6807.45,Month-to-Month,Electronic Check,Fiber Optic,0
24,91.92,2466.3,Month-to-Month,Debit Card,No,1
15,113.02,1788.84,Month-to-Month,Electronic Check,Fiber Optic,1
7,72.76,560.75,Two Year,UPI AutoPay,No,0
34,45.89,1574.93,Month-to-Month,Credit Card,DSL,0
35,25.28,819.38,Month-to-Month,Electronic Check,Fiber Optic,0
60,92.61,5439.68,One Year,Debit Card,Fiber Optic,0
16,32.13,466.25,Month-to-Month,Electronic Check,Fiber Optic,0
28,50.28,1271.11,Month-to-Month,Electronic Check,Fiber Optic,1
58,73.25,4447.81,Month-to-Month,Electronic Check,Fiber Optic,0
59,76.44,4535.03,Month-to-Month,Debit Card,DSL,1
28,80.06,2231.65,Month-to-Month,UPI AutoPay,DSL,0
33,36.63,1319.45,Month-to-Month,Electronic Check,Fiber Optic,0
22,57.97,1194.16,Month-to-Month,Electronic Check,Fiber Optic,0
67,81.72,5415.79,Two Year,Credit Card,No,0
9,116.98,1109.21,Month-to-Month,Debit Card,Fiber Optic,1
67,92.76,6345.48,One Year,Electronic Check,No,0
49,112.26,5613.18,One Year,Debit Card,Fiber Optic,1
38,96.22,3752.6,Month-to-Month,Electronic Check,DSL,1
3,79.17,270.57,One Year,UPI AutoPay,DSL,0
34,39.2,1402.98,Month-to-Month,UPI AutoPay,Fiber Optic,0
29,86.67,2615.9,Two Year,Electronic Check,Fiber Optic,0
12,82.34,921.83,Month-to-Month,UPI AutoPay,DSL,1
47,80.25,3824.77,Month-to-Month,Electronic Check,Fiber Optic,1
69,68.98,4717.8,Month-to-Month,UPI AutoPay,No,0
40,72.87,2989.44,Two Year,Credit Card,Fiber Optic,0
51,53.44,2717.54,Month-to-Month,Credit Card,Fiber Optic,0
5,71.93,675.45,One Year,Credit Card,Fiber Optic,0
30,39.76,1214.69,Month-to-Month,Debit Card,DSL,0
9,100.52,790.51,One Year,Debit Card,Fiber Optic,0
44,38.58,1703.62,Month-to-Month,Credit Card,Fiber Optic,1
67,28.5,1979.23,Two Year,Debit Card,DSL,0
47,63.62,3220.44,Month-to-Month,UPI AutoPay,Fiber Optic,0
6,85.83,494.92,Month-to-Month,Electronic Check,Fiber Optic,1
26,63.77,1511.38,Month-to-Month,Electronic Check,No,1
40,47.68,1993.33,Month-to-Month,Electronic Check,No,0
29,75.82,2108.23,One Year,Credit Card,DSL,0
60,54.7,3248.72,Month-to-Month,Debit Card,Fiber Optic,1
58,113.29,6640.22,One Year,UPI AutoPay,Fiber Optic,0
44,112.26,4982.07,Month-to-Month,UPI AutoPay,No,1
27,70.24,2001.53,Month-to-Month,Credit Card,DSL,1
19,52.79,941.42,Month-to-Month,UPI AutoPay,Fiber Optic,1
8,93.71,770.79,Month-to-Month,UPI AutoPay,Fiber Optic,1
26,23.67,618.71,One Year,UPI AutoPay,DSL,0
30,67.48,2061.89,Month-to-Month,UPI AutoPay,DSL,0
48,53.63,2636.88,Month-to-Month,Debit Card,Fiber Optic,0
47,112.05,5391.85,Two Year,UPI AutoPay,Fiber Optic,0
5,21.2,211.11,Two Year,Electronic Check,DSL,0
29,75.28,2227.2,Month-to-Month,Credit Card,Fiber Optic,0
13,94.07,1353.47,Month-to-Month,Debit Card,Fiber Optic,0
12,68.5,672.96,One Year,UPI AutoPay,Fiber Optic,0
59,28.54,1709.98,Month-to-Month,Debit Card,DSL,1
3,117.25,514.12,Month-to-Month,UPI AutoPay,No,1
30,71.8,2281.64,Month-to-Month,Electronic Check,DSL,1
12,81.42,984.52,One Year,Credit Card,Fiber Optic,1
63,43.66,2703.62,One Year,UPI AutoPay,DSL,0
40,68.35,2714.17,Month-to-Month,UPI AutoPay,DSL,1
17,62.91,1150.12,Month-to-Month,UPI AutoPay,Fiber Optic,0
36,27.49,1111.5,Month-to-Month,UPI AutoPay,DSL,0
